500 0.0000513
1000 0.0000796
1500 0.0000950
2000 0.0001335
2500 0.0001704
3000 0.0002094
3500 0.0003619
4000 0.0002888
4500 0.0003511
5000 0.0006001
5500 0.0004168
6000 0.0004385
6500 0.0005165
7000 0.0005503
7500 0.0005679
8000 0.0005532
8500 0.0005563
9000 0.0005848
9500 0.0005959
10000 0.0006247
10500 0.0006550
11000 0.0006688
11500 0.0007191
12000 0.0007542
12500 0.0007807
13000 0.0008099
13500 0.0008476
14000 0.0008750
14500 0.0009207
15000 0.0009470
15500 0.0009780
16000 0.0010054
16500 0.0010501
17000 0.0011526
17500 0.0014514
18000 0.0012887
18500 0.0011895
19000 0.0012224
19500 0.0012561
20000 0.0012826
20500 0.0013127
21000 0.0013659
21500 0.0014391
22000 0.0014381
22500 0.0014810
23000 0.0015149
23500 0.0015491
24000 0.0015838
24500 0.0016594
25000 0.0016687
25500 0.0017116
26000 0.0017666
26500 0.0017819
27000 0.0018180
27500 0.0018669
28000 0.0018803
28500 0.0019181
29000 0.0019544
29500 0.0019945
30000 0.0020380
30500 0.0020667
31000 0.0023992
31500 0.0027821
32000 0.0031321
32500 0.0028564
33000 0.0033458
33500 0.0030217
34000 0.0036822
34500 0.0034375
35000 0.0031532
35500 0.0056173
36000 0.0033149
36500 0.0030125
37000 0.0026273
37500 0.0026808
38000 0.0032687
38500 0.0026690
39000 0.0027372
39500 0.0027496
40000 0.0030383
40500 0.0035041
41000 0.0034022
41500 0.0036089
42000 0.0037326
42500 0.0040270
43000 0.0036351
43500 0.0030760
44000 0.0037877
44500 0.0033705
45000 0.0031742
45500 0.0032145
46000 0.0032631
46500 0.0032914
47000 0.0033230
47500 0.0033619
48000 0.0042180
48500 0.0035488
49000 0.0035248
49500 0.0035299
50000 0.0042023
50500 0.0045757
51000 0.0046905
51500 0.0038639
52000 0.0037790
52500 0.0037606
53000 0.0037976
53500 0.0038369
54000 0.0039800
54500 0.0040142
55000 0.0039446
55500 0.0039912
56000 0.0040428
56500 0.0045288
57000 0.0041026
57500 0.0041483
58000 0.0041841
58500 0.0042541
59000 0.0044194
59500 0.0048661
60000 0.0044037
60500 0.0044896
61000 0.0048383
61500 0.0045287
62000 0.0046365
62500 0.0046526
63000 0.0046681
63500 0.0047297
64000 0.0047453
64500 0.0047963
65000 0.0055243
65500 0.0058197
66000 0.0048855
66500 0.0063440
67000 0.0062386
67500 0.0059365
68000 0.0059921
68500 0.0063795
69000 0.0057689
69500 0.0052677
70000 0.0051791
70500 0.0052264
71000 0.0057974
71500 0.0053611
72000 0.0053633
72500 0.0059191
73000 0.0067891
73500 0.0083095
74000 0.0103884
74500 0.0069931
75000 0.0069757
75500 0.0070743
76000 0.0071544
76500 0.0073238
77000 0.0071925
77500 0.0072959
78000 0.0073390
78500 0.0075111
79000 0.0074352
79500 0.0073788
80000 0.0077683
80500 0.0076110
81000 0.0076884
81500 0.0079023
82000 0.0078678
82500 0.0108752
83000 0.0078172
83500 0.0079323
84000 0.0080276
84500 0.0094118
85000 0.0107379
85500 0.0106494
86000 0.0081790
86500 0.0084324
87000 0.0156180
87500 0.0131498
88000 0.0066087
88500 0.0067495
89000 0.0066902
89500 0.0066967
90000 0.0067148
90500 0.0068079
91000 0.0068426
91500 0.0069232
92000 0.0073183
92500 0.0069675
93000 0.0070619
93500 0.0070682
94000 0.0071417
94500 0.0071283
95000 0.0072488
95500 0.0074791
96000 0.0072698
96500 0.0073444
97000 0.0073253
97500 0.0088874
98000 0.0096796
98500 0.0087256
99000 0.0078871
99500 0.0075265
100000 0.0075225
