SIGLA ICAO AERÓDROMO;SIGLA IATA AERÓDROMO;NOME AERÓDROMO;MUNICÍPIO AERÓDROMO;ESTADO AERÓDROMO;PAÍS AERÓDROMO;AERONAVE CRÍTICA;LATITUDE;LONGITUDE
AGAF;AFT;AFUTARA AIRPORT;AFUTARA;;ILHAS SALOMÃO;N/I;-9,191389;160,948333
AGAR;RNA;ULAWA AIRPORT;ARONA, ULAWA ISLAND;;ILHAS SALOMÃO;N/I;-9,854722;161,979167
AGAT;ATD;URU HARBOUR AIRPORT;ATOIFI, MALAITA;;ILHAS SALOMÃO;N/I;-8,873333;161,011389
AGGA;AKS;AUKI GWAUNARU´U AIRPORT;AUKI;;ILHAS SALOMÃO;N/I;-8,697778;160,680833
AGGB;BNY;BELLONA/ANUA AIRPORT;BELLONA/ANUA;;ILHAS SALOMÃO;N/I;-11,301667;159,798056
AGGC;CHY;CHOISEUL BAY AIRPORT;CHOISEUL BAY, TARO ISLAND;;ILHAS SALOMÃO;N/I;-6,711944;156,396111
AGGD;MBU;MBAMBANAKIRA AIRPORT;MBAMBANAKIRA;;ILHAS SALOMÃO;N/I;-9,7475;159,838889
AGGE;BAS;BALALAE AIRPORT;SHORTLAND ISLAND;;ILHAS SALOMÃO;N/I;-6,9925;155,888333
AGGF;FRE;FERA/MARINGE AIRPORT;FERA ISLAND, SANTA ISABEL ISLAND;;ILHAS SALOMÃO;N/I;-8,107222;159,5775
AGGH;HIR;HONIARA INTERNATIONAL AIRPORT (HENDERSON FIELD);HONIARA, GUADALCANAL;;ILHAS SALOMÃO;N/I;-9,428056;160,054722
AGGK;IRA;KIRAKIRA AIRPORT;KIRAKIRA;;ILHAS SALOMÃO;N/I;-10,449444;161,898333
AGGL;SCZ;SANTA CRUZ/GRACIOSA BAY/LUOVA AIRPORT;SANTA CRUZ/GRACIOSA BAY/LUOVA, SANTA CRUZ ISLAND;;ILHAS SALOMÃO;N/I;-10,719722;165,797778
AGGM;MUA;MUNDA AIRPORT;MUNDA, NEW GEORGIA ISLAND;;ILHAS SALOMÃO;N/I;-8,327969;157,263092
AGGN;GZO;NUSATUPE AIRPORT;GIZO ISLAND;;ILHAS SALOMÃO;N/I;-8,098611;156,864167
AGGO;MNY;MONO AIRPORT;MONO ISLAND;;ILHAS SALOMÃO;N/I;-7,416111;155,565278
AGGR;RNL;RENNELL/TINGOA AIRPORT;RENNELL/TINGOA, RENNELL ISLAND;;ILHAS SALOMÃO;N/I;-11,55;160,062778
AGGS;EGM;SEGHE AIRPORT;SEGHE;;ILHAS SALOMÃO;N/I;-8,578;157,875
AGGT;NNB;SANTA ANA AIRPORT;SANTA ANA;;ILHAS SALOMÃO;N/I;-10,848056;162,454167
AGGU;RUS;MARAU AIRPORT;MARAU;;ILHAS SALOMÃO;N/I;-9,861667;160,825
AGGV;VAO;SUAVANAO AIRPORT;SUAVANAO;;ILHAS SALOMÃO;N/I;-7,585833;158,731389
AGGY;XYA;YANDINA AIRPORT;YANDINA;;ILHAS SALOMÃO;N/I;-9,092778;159,218889
AGKG;KGE;KAGHAU AIRPORT;KAGHAU;;ILHAS SALOMÃO;N/I;-7,332778;157,586944
AGOK;GTA;GATOKAE AERODROME;GATOKAE;;ILHAS SALOMÃO;N/I;-8,739167;158,203056
AGRM;RBV;RAMATA AIRPORT;RAMATA ISLAND;;ILHAS SALOMÃO;N/I;-8,168056;157,6425
ANYN;INU;NAURU INTERNATIONAL AIRPORT;YAREN;;NAURU;N/I;-0,547458;166,9191
AYBK;BUA;BUKA AIRPORT;BUKA;;PAPUA-NOVA GUINÉ;N/I;-5,422222;154,6725
AYCH;CMU;CHIMBU AIRPORT;KUNDIAWA;;PAPUA-NOVA GUINÉ;N/I;-6,024167;144,970278
AYDU;DAU;DARU AIRPORT;DARU;;PAPUA-NOVA GUINÉ;N/I;-9,086667;143,207778
AYGA;GKA;GOROKA AIRPORT;GOROKA;;PAPUA-NOVA GUINÉ;N/I;-6,081689;145,391881
AYGN;GUR;GURNEY AIRPORT;ALOTAU;;PAPUA-NOVA GUINÉ;N/I;-10,311389;150,333611
AYGR;PNP;GIRUA AIRPORT;POPONDETTA;;PAPUA-NOVA GUINÉ;N/I;-8,804444;148,308889
AYHK;HKN;HOSKINS AIRPORT;HOSKINS;;PAPUA-NOVA GUINÉ;N/I;-5,462169;150,404944
AYKI;UNG;KIUNGA AIRPORT;KIUNGA;;PAPUA-NOVA GUINÉ;N/I;-6,125667;141,282
AYKK;KRI;KIKORI AIRPORT;KIKORI;;PAPUA-NOVA GUINÉ;N/I;-7,424722;144,249722
AYKM;KMA;KEREMA AIRPORT;KEREMA;;PAPUA-NOVA GUINÉ;N/I;-7,963611;145,771389
AYKT;KZF;KIETA AROPA AIRPORT;KIETA;;PAPUA-NOVA GUINÉ;N/I;-6,303333;155,723333
AYKV;KVG;KAVIENG AIRPORT;KAVIENG;;PAPUA-NOVA GUINÉ;N/I;-2,579167;150,807778
AYKY;LNV;KUNAYE AIRPORT;KUNAYE;;PAPUA-NOVA GUINÉ;N/I;-3,0424;152,6279
AYLA;...;LAE AIRFIELD;LAE;;PAPUA-NOVA GUINÉ;N/I;-6,733056;146,995833
AYMD;MAG;MADANG AIRPORT;MADANG;;PAPUA-NOVA GUINÉ;N/I;-5,208333;145,783333
AYMH;HGU;MOUNT HAGEN AIRPORT;MOUNT HAGEN;;PAPUA-NOVA GUINÉ;N/I;-5,826789;144,295861
AYMN;MDU;MENDI AIRPORT;MENDI;;PAPUA-NOVA GUINÉ;N/I;-6,147739;143,657164
AYMO;MAS;MOMOTE AIRPORT;MANUS ISLAND;;PAPUA-NOVA GUINÉ;N/I;-2,061944;147,424167
AYMR;MXH;MORO AIRPORT;MORO;;PAPUA-NOVA GUINÉ;N/I;-6,363333;143,238056
AYMS;MIS;MISIMA ISLAND AIRPORT;MISIMA;;PAPUA-NOVA GUINÉ;N/I;-10,689167;152,838056
AYNZ;LAE;LAE NADZAB AIRPORT;LAE/NADZAB;;PAPUA-NOVA GUINÉ;N/I;-6,569722;146,726111
AYPY;POM;PORT MORESBY/JACKSON INTERNATIONAL AIRPORT;PORT MORESBY;;PAPUA-NOVA GUINÉ;N/I;-9,443333;147,22
AYRB;...;RABAUL AIRPORT;RABAUL, NEW BRITAIN;;PAPUA-NOVA GUINÉ;N/I;-4,340278;152,379444
AYTA;TIZ;TARI AIRPORT;TARI;;PAPUA-NOVA GUINÉ;N/I;-5,845;142,948
AYTB;TBG;TABUBIL AIRPORT;TABUBIL;;PAPUA-NOVA GUINÉ;N/I;-5,278611;141,225833
AYTK;RAB;RABAUL AIRPORT (TOKUA AIRPORT);RABAUL/TOKUA;;PAPUA-NOVA GUINÉ;N/I;-4,340278;152,379444
AYVN;VAI;VANIMO AIRPORT;VANIMO;;PAPUA-NOVA GUINÉ;N/I;-2,697167;141,302286
AYWD;WBM;WAPENAMANDA AIRPORT;WAPENAMANDA;;PAPUA-NOVA GUINÉ;N/I;-5,643303;143,895411
AYWK;WWK;WEWAK INTERNATIONAL AIRPORT;WEWAK;;PAPUA-NOVA GUINÉ;N/I;-3,583828;143,669186
BGAA;JEG;AASIAAT AIRPORT;AASIAAT (EGEDESMINDE, AUSIAT);;GROENLÂNDIA;N/I;68,721944;-52,784722
BGBW;UAK;NARSARSUAQ AIRPORT;NARSARSUAQ (NARSSARSSUAQ);;GROENLÂNDIA;N/I;61,160556;-45,425556
BGCO;CNP;NERLERIT INAAT AIRPORT (CONSTABLE PYNT AIRPORT);JAMESON LAND;;GROENLÂNDIA;N/I;70,743056;-22,650556
BGGH;GOH;NUUK AIRPORT;NUUK (GODTHÅB);;GROENLÂNDIA;N/I;64,190833;-51,678056
BGJN;JAV;ILULISSAT AIRPORT (JAKOBSHAVN AIRPORT);ILULISSAT (JAKOBSHAVN);;GROENLÂNDIA;N/I;69,243333;-51,057222
BGKK;KUS;KULUSUK AIRPORT;KULUSUK;;GROENLÂNDIA;N/I;65,573611;-37,123611
BGMQ;JSU;MANIITSOQ AIRPORT;MANIITSOQ (SUKKERTOPPEN);;GROENLÂNDIA;N/I;65,4125;-52,939444
BGPT;JFR;PAAMIUT AIRPORT;PAAMIUT (FREDERIKSHÅB);;GROENLÂNDIA;N/I;62,014722;-49,670833
BGQQ;NAQ;QAANAAQ AIRPORT;QAANAAQ;;GROENLÂNDIA;N/I;77,488611;-69,388611
BGSF;SFJ;KANGERLUSSUAQ AIRPORT (SØNDRE STRØMFJORD AIRPORT);KANGERLUSSUAQ (SØNDRE STRØMFJORD);;GROENLÂNDIA;N/I;67,016944;-50,689444
BGSS;JHS;SISIMIUT AIRPORT (HOLSTEINSBORG AIRPORT);SISIMIUT (HOLSTEINSBORG);;GROENLÂNDIA;N/I;66,951389;-53,729444
BGTL;THU;THULE AIR BASE;PITUFFIK, QAANAAQ;;GROENLÂNDIA;N/I;76,531111;-68,703056
BGUK;JUV;UPERNAVIK AIRPORT;UPERNAVIK;;GROENLÂNDIA;N/I;72,790278;-56,130556
BGUQ;JQA;QAARSUT AIRPORT;QAARSUT;;GROENLÂNDIA;N/I;70,734167;-52,696111
BIAR;AEY;AKUREYRI AIRPORT;AKUREYRI;;ISLÂNDIA;N/I;65,659994;-18,072703
BIBA;...;BAKKI AIRPORT;BAKKI;;ISLÂNDIA;N/I;63,556111;-20,1375
BIBD;BIU;BÍLDUDALUR AIRPORT;BÍLDUDALUR;;ISLÂNDIA;N/I;65,641389;-23,546111
BIBL;BLO;BLÖNDUÓS AIRPORT;BLÖNDUÓS;;ISLÂNDIA;N/I;65,645;-20,2875
BIDV;DJU;DJUPIVOGUR AIRPORT;DJUPIVOGUR;;ISLÂNDIA;N/I;64,643056;-14,277778
BIEG;EGS;EGILSSTAÐIR AIRPORT;EGILSSTAÐIR;;ISLÂNDIA;N/I;65,283333;-14,401389
BIGJ;GJR;GJÖGUR AIRPORT;GJÖGUR;;ISLÂNDIA;N/I;65,993308;-21,329622
BIGR;GRY;GRÍMSEY AIRPORT;GRÍMSEY;;ISLÂNDIA;N/I;66,546667;-18,018611
BIHN;HFN;HORNAFJÖRÐUR AIRPORT;HÖFN;;ISLÂNDIA;N/I;64,295556;-15,227222
BIHR;...;BOHDGAYA AIRPORT;GAYA;;ÍNDIA;N/I;24,7444444444444;84,9511111111111
BIHU;HZK;HÚSAVÍK AIRPORT;HÚSAVÍK;;ISLÂNDIA;N/I;65,952222;-17,425833
BIIS;IFJ;ÍSAFJÖRÐUR AIRPORT;ÍSAFJÖRÐUR;;ISLÂNDIA;N/I;66,058056;-23,135278
BIKF;KEF;KEFLAVÍK INTERNATIONAL AIRPORT (FLUGSTÖÐ LEIFS EIRÍKSSONAR);KEFLAVÍK;;ISLÂNDIA;N/I;63,985;-22,605556
BIKR;SAK;SAUÐÁRKRÓKUR AIRPORT;SAUÐÁRKRÓKUR;;ISLÂNDIA;N/I;65,731667;-19,572778
BIPA;PFJ;PATREKSFJÖRÐUR AIRPORT;PATREKSFJÖRÐUR;;ISLÂNDIA;N/I;65,555833;-23,965
BIRF;OLI;RIF AIRPORT;ÓLAFSVÍK;;ISLÂNDIA;N/I;64,911111;-23,816667
BIRG;RFN;RAUFARHÖFN AIRPORT;RAUFARHÖFN;;ISLÂNDIA;N/I;66,406944;-15,925
BIRK;RKV;REYKJAVÍK AIRPORT;REYKJAVÍK;;ISLÂNDIA;N/I;64,13;-21,940556
BISF;...;SELFOSS AIRPORT;SELFOSS;;ISLÂNDIA;N/I;63,929167;-21,037778
BISI;SIJ;SIGLUFJÖRÐUR AIRPORT;SIGLUFJÖRÐUR;;ISLÂNDIA;N/I;66,133333;-18,916667
BIST;SYK;STYKKISHÓLMUR AIRPORT;STYKKISHÓLMUR;;ISLÂNDIA;N/I;65,059722;-22,758333
BITN;THO;THORSHOFN AIRPORT;ÞÓRSHÖFN;;ISLÂNDIA;N/I;66,218333;-15,335556
BIVM;VEY;VESTMANNAEYJAR AIRPORT;VESTMANNAEYJAR;;ISLÂNDIA;N/I;63,425;-20,279167
BIVO;VPN;VOPNAFJÖRÐUR AIRPORT;VOPNAFJÖRÐUR;;ISLÂNDIA;N/I;65,720556;-14,850556
BKPR;PRN;PRISTINA INTERNATIONAL AIRPORT;SLATINA;;KOSOVO;N/I;42,572778;21,035833
CYAC;YAC;CAT LAKE AIRPORT;CAT LAKE, ONTARIO;;CANADÁ;N/I;51,727222;-91,824444
CYAD;YAR;LA GRANDE-3 AIRPORT;LA GRANDE-3 GENERATING STATION, QUEBEC;;CANADÁ;N/I;53,571667;-76,196389
CYAG;YAG;FORT FRANCES MUNICIPAL AIRPORT;FORT FRANCES, ONTARIO;;CANADÁ;N/I;48,654444;-93,440556
CYAH;YAH;LA GRANDE-4 AIRPORT;LA GRANDE-4 GENERATING STATION, QUEBEC;;CANADÁ;N/I;53,754722;-73,675278
CYAL;YAL;ALERT BAY AIRPORT;ALERT BAY, BRITISH COLUMBIA;;CANADÁ;N/I;50,582222;-126,915556
CYAM;YAM;SAULT STE. MARIE AIRPORT;SAULT STE. MARIE, ONTARIO;;CANADÁ;N/I;46,485;-84,509444
CYAQ;XKS;KASABONIKA AIRPORT;KASABONIKA, ONTARIO;;CANADÁ;N/I;53,524722;-88,643056
CYAS;YKG;KANGIRSUK AIRPORT;KANGIRSUK, QUEBEC;;CANADÁ;N/I;60,027222;-69,999167
CYAT;YAT;ATTAWAPISKAT AIRPORT;ATTAWAPISKAT, ONTARIO;;CANADÁ;N/I;52,9275;-82,431944
CYAU;...;LIVERPOOL/SOUTH SHORE REGIONAL AIRPORT;LIVERPOOL, NOVA SCOTIA;;CANADÁ;N/I;44,230556;-64,856111
CYAV;...;WINNIPEG/ST. ANDREWS AIRPORT;ST. ANDREWS, MANITOBA;;CANADÁ;N/I;50,056111;-97,0325
CYAW;YAW;CFB SHEARWATER (HALIFAX/SHEARWATER AIRPORT);SHEARWATER, NOVA SCOTIA;;CANADÁ;N/I;44,637222;-63,502222
CYAX;...;LAC DU BONNET AIRPORT;LAC DU BONNET, MANITOBA;;CANADÁ;N/I;50,294722;-96,01
CYAY;YAY;ST. ANTHONY AIRPORT;ST. ANTHONY, NEWFOUNDLAND AND LABRADOR;;CANADÁ;N/I;51,391944;-56,083056
CYAZ;YAZ;TOFINO/LONG BEACH AIRPORT;TOFINO, BRITISH COLUMBIA;;CANADÁ;N/I;49,082222;-125,7725
CYBA;YBA;BANFF AIRPORT;BANFF, ALBERTA;;CANADÁ;N/I;51,208333;-115,540278
CYBB;YBB;KUGAARUK AIRPORT;KUGAARUK, NUNAVUT;;CANADÁ;N/I;68,535833;-89,805278
CYBC;YBC;BAIE-COMEAU AIRPORT;BAIE-COMEAU, QUEBEC;;CANADÁ;N/I;49,1325;-68,204444
CYBD;QBC;BELLA COOLA AIRPORT;BELLA COOLA, BRITISH COLUMBIA;;CANADÁ;N/I;52,3875;-126,595833
CYBE;YBE;URANIUM CITY AIRPORT;URANIUM CITY, SASKATCHEWAN;;CANADÁ;N/I;59,561389;-108,481389
CYBF;YBY;BONNYVILLE AIRPORT;BONNYVILLE, ALBERTA;;CANADÁ;N/I;54,304722;-110,741111
CYBG;YBG;CFB BAGOTVILLE (BAGOTVILLE AIRPORT);BAGOTVILLE, QUEBEC;;CANADÁ;N/I;48,330556;-70,996944
CYBK;YBK;BAKER LAKE AIRPORT;BAKER LAKE, NUNAVUT;;CANADÁ;N/I;64,298889;-96,077778
CYBL;YBL;CAMPBELL RIVER AIRPORT;CAMPBELL RIVER, BRITISH COLUMBIA;;CANADÁ;N/I;49,951944;-125,273056
CYBP;...;BROOKS REGIONAL AERODROME;BROOKS, ALBERTA;;CANADÁ;N/I;50,634167;-111,926389
CYBQ;XTL;TADOULE LAKE AIRPORT;TADOULE LAKE, MANITOBA;;CANADÁ;N/I;58,706111;-98,512222
CYBR;YBR;BRANDON MUNICIPAL AIRPORT (MCGILL FIELD);BRANDON, MANITOBA;;CANADÁ;N/I;49,91;-99,952222
CYBT;YBT;BROCHET AIRPORT;BROCHET, MANITOBA;;CANADÁ;N/I;57,889444;-101,679167
CYBU;YBU;NIPAWIN AIRPORT;NIPAWIN, SASKATCHEWAN;;CANADÁ;N/I;53,3325;-104,008889
CYBV;YBV;BERENS RIVER AIRPORT;BERENS RIVER, MANITOBA;;CANADÁ;N/I;52,358889;-97,018056
CYBW;...;CALGARY/SPRINGBANK AIRPORT (SPRINGBANK AIRPORT);CALGARY, ALBERTA;;CANADÁ;N/I;51,105278;-114,371389
CYBX;YBX;LOURDES-DE-BLANC-SABLON AIRPORT;BLANC-SABLON, QUEBEC;;CANADÁ;N/I;51,441944;-57,186111
CYCA;YRF;CARTWRIGHT AIRPORT;CARTWRIGHT, NEWFOUNDLAND AND LABRADOR;;CANADÁ;N/I;53,6825;-57,041944
CYCB;YCB;CAMBRIDGE BAY AIRPORT;CAMBRIDGE BAY, NUNAVUT;;CANADÁ;N/I;69,108056;-105,137222
CYCC;YCC;CORNWALL REGIONAL AIRPORT;CORNWALL, ONTARIO;;CANADÁ;N/I;45,092778;-74,567778
CYCD;YCD;NANAIMO AIRPORT;NANAIMO, BRITISH COLUMBIA;;CANADÁ;N/I;49,054444;-123,87
CYCE;YCE;CENTRALIA/JAMES T. FIELD MEMORIAL AERODROME;CENTRALIA, ONTARIO;;CANADÁ;N/I;43,285833;-81,506389
CYCG;YCG;WEST KOOTENAY REGIONAL AIRPORT (CASTLEGAR AIRPORT);CASTLEGAR, BRITISH COLUMBIA;;CANADÁ;N/I;49,296111;-117,6325
CYCH;YCH;MIRAMICHI AIRPORT;MIRAMICHI, NEW BRUNSWICK;;CANADÁ;N/I;47,005833;-65,456944
CYCK;XCM;CHATHAM-KENT AIRPORT;CHATHAM-KENT, ONTARIO;;CANADÁ;N/I;42,306111;-82,081667
CYCL;YCL;CHARLO AIRPORT;CHARLO, NEW BRUNSWICK;;CANADÁ;N/I;47,990833;-66,330278
CYCN;YCN;COCHRANE AIRPORT;COCHRANE, ONTARIO;;CANADÁ;N/I;49,106667;-81,015278
CYCO;YCO;KUGLUKTUK AIRPORT;KUGLUKTUK, NUNAVUT;;CANADÁ;N/I;67,816667;-115,143889
CYCP;YCP;BLUE RIVER AIRPORT;BLUE RIVER, BRITISH COLUMBIA;;CANADÁ;N/I;52,124722;-119,292778
CYCQ;YCQ;CHETWYND AIRPORT;CHETWYND, BRITISH COLUMBIA;;CANADÁ;N/I;55,687222;-121,626667
CYCR;YCR;CROSS LAKE (CHARLIE SINCLAIR MEMORIAL) AIRPORT;CROSS LAKE, MANITOBA;;CANADÁ;N/I;54,610833;-97,76
CYCS;YCS;CHESTERFIELD INLET AIRPORT;CHESTERFIELD INLET, NUNAVUT;;CANADÁ;N/I;63,347222;-90,731111
CYCT;YCT;CORONATION AIRPORT;CORONATION, ALBERTA;;CANADÁ;N/I;52,075;-111,445278
CYCW;YCW;CHILLIWACK AIRPORT;CHILLIWACK, BRITISH COLUMBIA;;CANADÁ;N/I;49,152778;-121,938889
CYCY;YCY;CLYDE RIVER AIRPORT;CLYDE RIVER, NUNAVUT;;CANADÁ;N/I;70,485833;-68,516944
CYCZ;YCZ;FAIRMONT HOT SPRINGS AIRPORT;FAIRMONT HOT SPRINGS, BRITISH COLUMBIA;;CANADÁ;N/I;50,330278;-115,873333
CYDA;YDA;DAWSON CITY AIRPORT;DAWSON CITY, YUKON;;CANADÁ;N/I;64,042222;-139,130278
CYDB;YDB;BURWASH AIRPORT;BURWASH LANDING, YUKON;;CANADÁ;N/I;61,370556;-139,04
CYDC;...;PRINCETON AERODROME;PRINCETON, BRITISH COLUMBIA;;CANADÁ;N/I;49,467778;-120,5125
CYDF;YDF;DEER LAKE REGIONAL AIRPORT;DEER LAKE, NEWFOUNDLAND AND LABRADOR;;CANADÁ;N/I;49,209167;-57,394444
CYDL;YDL;DEASE LAKE AIRPORT;DEASE LAKE, BRITISH COLUMBIA;;CANADÁ;N/I;58,422222;-130,031389
CYDM;XRR;ROSS RIVER AIRPORT;ROSS RIVER, YUKON;;CANADÁ;N/I;61,970556;-132,422222
CYDN;YDN;LT. COL W.G. (BILLY) BARKER VC AIRPORT;DAUPHIN, MANITOBA;;CANADÁ;N/I;51,101389;-100,053333
CYDO;YDO;DOLBEAU-SAINT-FÉLICIEN AIRPORT;DOLBEAU-MISTASSINI, QUEBEC;;CANADÁ;N/I;48,778333;-72,375
CYDP;YDP;NAIN AIRPORT;NAIN, NEWFOUNDLAND AND LABRADOR;;CANADÁ;N/I;56,550556;-61,682222
CYDQ;YDQ;DAWSON CREEK AIRPORT;DAWSON CREEK, BRITISH COLUMBIA;;CANADÁ;N/I;55,742222;-120,183056
CYEA;...;EMPRESS AIRPORT;EMPRESS, ALBERTA;;CANADÁ;N/I;50,933611;-110,013611
CYEE;YEE;MIDLAND/HURONIA AIRPORT;MIDLAND, ONTARIO;;CANADÁ;N/I;44,684722;-79,929444
CYEG;YEG;EDMONTON INTERNATIONAL AIRPORT;NISKU, ALBERTA;;CANADÁ;N/I;53,31;-113,579444
CYEK;YEK;ARVIAT AIRPORT;ARVIAT, NUNAVUT;;CANADÁ;N/I;61,093889;-94,071667
CYEL;YEL;ELLIOT LAKE MUNICIPAL AIRPORT;ELLIOT LAKE, ONTARIO;;CANADÁ;N/I;46,351667;-82,561111
CYEM;YEM;MANITOWANING/MANITOULIN EAST MUNICIPAL AIRPORT;MANITOWANING, ONTARIO;;CANADÁ;N/I;45,8425;-81,8575
CYEN;YEN;ESTEVAN REGIONAL AERODROME;ESTEVAN, SASKATCHEWAN;;CANADÁ;N/I;49,210278;-102,965833
CYER;YER;FORT SEVERN AIRPORT;FORT SEVERN, ONTARIO;;CANADÁ;N/I;56,018889;-87,676111
CYES;...;EDMUNDSTON AIRPORT;EDMUNDSTON, NEW BRUNSWICK;;CANADÁ;N/I;47,490556;-68,481944
CYET;YET;EDSON AIRPORT;EDSON, ALBERTA;;CANADÁ;N/I;53,578889;-116,465
CYEU;YEU;EUREKA AERODROME;EUREKA, NUNAVUT;;CANADÁ;N/I;79,994444;-85,811944
CYEV;YEV;INUVIK (MIKE ZUBKO) AIRPORT;INUVIK, NORTHWEST TERRITORIES;;CANADÁ;N/I;68,303889;-133,483056
CYEY;YEY;AMOS/MAGNY AIRPORT;AMOS, QUEBEC;;CANADÁ;N/I;48,565;-78,249167
CYFA;YFA;FORT ALBANY AIRPORT;FORT ALBANY, ONTARIO;;CANADÁ;N/I;52,203611;-81,695833
CYFB;YFB;IQALUIT AIRPORT;IQALUIT, NUNAVUT;;CANADÁ;N/I;63,756667;-68,556111
CYFC;YFC;FREDERICTON INTERNATIONAL AIRPORT;FREDERICTON, NEW BRUNSWICK;;CANADÁ;N/I;45,868889;-66,537222
CYFD;...;BRANTFORD AIRPORT;BRANTFORD, ONTARIO;;CANADÁ;N/I;43,1325;-80,341389
CYFE;YFE;FORESTVILLE AIRPORT;FORESTVILLE, QUEBEC;;CANADÁ;N/I;48,746111;-69,097222
CYFH;YFH;FORT HOPE AIRPORT;FORT HOPE, ONTARIO;;CANADÁ;N/I;51,561944;-87,907778
CYFJ;YTM;RIVIÈRE ROUGE  MONT-TREMBLANT INTERNATIONAL AIRPORT;MONT-TREMBLANT, QUEBEC;;CANADÁ;N/I;46,409167;-74,78
CYFO;YFO;FLIN FLON AIRPORT;FLIN FLON, MANITOBA;;CANADÁ;N/I;54,678056;-101,681944
CYFR;YFR;FORT RESOLUTION AIRPORT;FORT RESOLUTION, NORTHWEST TERRITORIES;;CANADÁ;N/I;61,180833;-113,689722
CYFS;YFS;FORT SIMPSON AIRPORT;FORT SIMPSON, NORTHWEST TERRITORIES;;CANADÁ;N/I;61,760278;-121,236667
CYFT;YMN;MAKKOVIK AIRPORT;MAKKOVIK, NEWFOUNDLAND AND LABRADOR;;CANADÁ;N/I;55,077222;-59,187778
CYGB;YGB;TEXADA/GILLIES BAY AIRPORT;TEXADA ISLAND, BRITISH COLUMBIA;;CANADÁ;N/I;49,694167;-124,517778
CYGD;YGD;GODERICH AIRPORT (GODERICH MUNICIPAL AIRPORT);GODERICH, ONTARIO;;CANADÁ;N/I;43,767778;-81,710833
CYGE;YGE;GOLDEN AIRPORT;GOLDEN, BRITISH COLUMBIA;;CANADÁ;N/I;51,299167;-116,982222
CYGH;YGH;FORT GOOD HOPE AIRPORT;FORT GOOD HOPE, NORTHWEST TERRITORIES;;CANADÁ;N/I;66,240556;-128,6475
CYGK;YGK;KINGSTON/NORMAN ROGERS AIRPORT (KINGSTON AIRPORT);KINGSTON, ONTARIO;;CANADÁ;N/I;44,225833;-76,596667
CYGL;YGL;LA GRANDE RIVIÈRE AIRPORT;RADISSON, QUEBEC;;CANADÁ;N/I;53,625278;-77,704167
CYGM;YGM;GIMLI INDUSTRIAL PARK AIRPORT;GIMLI, MANITOBA;;CANADÁ;N/I;50,628056;-97,043333
CYGO;YGO;GODS LAKE NARROWS AIRPORT;GODS LAKE NARROWS, MANITOBA;;CANADÁ;N/I;54,558889;-94,491389
CYGP;YGP;MICHEL-POULIOT GASPÉ AIRPORT;GASPÉ, QUEBEC;;CANADÁ;N/I;48,775278;-64,479722
CYGQ;YGQ;GERALDTON (GREENSTONE REGIONAL) AIRPORT;GERALDTON, ONTARIO;;CANADÁ;N/I;49,778611;-86,938611
CYGR;YGR;ÎLES-DE-LA-MADELEINE AIRPORT;MAGDALEN ISLANDS, QUEBEC;;CANADÁ;N/I;47,425;-61,778056
CYGT;YGT;IGLOOLIK AIRPORT;IGLOOLIK, NUNAVUT;;CANADÁ;N/I;69,364722;-81,816389
CYGV;YGV;HAVRE SAINT-PIERRE AIRPORT;HAVRE-SAINT-PIERRE, QUEBEC;;CANADÁ;N/I;50,281944;-63,611111
CYGW;YGW;KUUJJUARAPIK AIRPORT;KUUJJUARAPIK, QUEBEC;;CANADÁ;N/I;55,281944;-77,765278
CYGX;YGX;GILLAM AIRPORT;GILLAM, MANITOBA;;CANADÁ;N/I;56,357778;-94,710833
CYGZ;YGZ;GRISE FIORD AIRPORT;GRISE FIORD, NUNAVUT;;CANADÁ;N/I;76,426111;-82,909444
CYHA;YQC;QUAQTAQ AIRPORT;QUAQTAQ, QUEBEC;;CANADÁ;N/I;61,046389;-69,617778
CYHB;YHB;HUDSON BAY AIRPORT;HUDSON BAY, SASKATCHEWAN;;CANADÁ;N/I;52,818333;-102,311111
CYHC;CXH;VANCOUVER HARBOUR WATER AIRPORT (VANCOUVER COAL HARBOUR SEAPLANE BASE);VANCOUVER, BRITISH COLUMBIA;;CANADÁ;N/I;49,294444;-123,111389
CYHD;YHD;DRYDEN REGIONAL AIRPORT;DRYDEN, ONTARIO;;CANADÁ;N/I;49,831667;-92,744167
CYHE;YHE;HOPE AERODROME;HOPE, BRITISH COLUMBIA;;CANADÁ;N/I;49,368333;-121,498056
CYHF;YHF;HEARST (RENÉ FONTAINE) MUNICIPAL AIRPORT;HEARST, ONTARIO;;CANADÁ;N/I;49,713889;-83,686944
CYHH;YNS;NEMISCAU AIRPORT;NEMASKA, QUEBEC;;CANADÁ;N/I;51,691111;-76,135556
CYHI;YHI;ULUKHAKTOK/HOLMAN AIRPORT;ULUKHAKTOK, NORTHWEST TERRITORIES;;CANADÁ;N/I;70,762778;-117,806111
CYHK;YHK;GJOA HAVEN AIRPORT;GJOA HAVEN, NUNAVUT;;CANADÁ;N/I;68,635556;-95,850278
CYHM;YHM;HAMILTON/JOHN C. MUNRO INTERNATIONAL AIRPORT;HAMILTON, ONTARIO;;CANADÁ;N/I;43,173611;-79,935
CYHN;YHN;HORNEPAYNE MUNICIPAL AIRPORT;HORNEPAYNE, ONTARIO;;CANADÁ;N/I;49,193056;-84,759444
