SIGLA ICAO AERÓDROMO;SIGLA IATA AERÓDROMO;NOME AERÓDROMO;MUNICÍPIO AERÓDROMO;ESTADO AERÓDROMO;PAÍS AERÓDROMO;AERONAVE CRÍTICA;LATITUDE;LONGITUDE
KAUM;AUM;AUSTIN MUNICIPAL AIRPORT;AUSTIN, MINNESOTA;;ESTADOS UNIDOS DA AMÉRICA;N/I;436,625;-92,932778
KAUN;AUN;AUBURN MUNICIPAL AIRPORT;AUBURN, CALIFORNIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;38,954722;-121,081667
KAUO;AUO;AUBURN UNIVERSITY REGIONAL AIRPORT;AUBURN, ALABAMA;;ESTADOS UNIDOS DA AMÉRICA;N/I;32,615;-85,433889
KAUS;AUS;AUSTIN BERGSTROM INTERNATIONAL AIRPORT;AUSTIN, TEXAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;30,194444;-97,67
KAUW;AUW;WAUSAU DOWNTOWN AIRPORT;WAUSAU, WISCONSIN;;ESTADOS UNIDOS DA AMÉRICA;N/I;44,926111;-89,626667
KAVL;AVL;ASHEVILLE REGIONAL AIRPORT;FLETCHER, NORTH CAROLINA (NEAR ASHEVILLE);;ESTADOS UNIDOS DA AMÉRICA;N/I;35,436111;-82,541667
KAVO;AVO;AVON PARK EXECUTIVE AIRPORT;AVON PARK, FLORIDA;;ESTADOS UNIDOS DA AMÉRICA;N/I;27,591389;-81,528889
KAVP;AVP;WILKES-BARRE/SCRANTON INTERNATIONAL AIRPORT;AVOCA, PENNSYLVANIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;41,338333;-75,723333
KAVQ;AVW;MARANA REGIONAL AIRPORT;MARANA, ARIZONA (NEAR TUCSON);;ESTADOS UNIDOS DA AMÉRICA;N/I;32,409556;-111,218389
KAVX;AVX;CATALINA AIRPORT;AVALON/SANTA CATALINA ISLAND, CALIFORNIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;33,405;-118,415833
KAWM;AWM;WEST MEMPHIS MUNICIPAL AIRPORT;WEST MEMPHIS, ARKANSAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;35,135;-90,234444
KAWO;AWO;ARLINGTON MUNICIPAL AIRPORT;ARLINGTON, WASHINGTON;;ESTADOS UNIDOS DA AMÉRICA;N/I;48,160833;-122,158889
KAXA;AXG;ALGONA MUNICIPAL AIRPORT;ALGONA, IOWA;;ESTADOS UNIDOS DA AMÉRICA;N/I;43,077778;-94,271944
KAXN;AXN;CHANDLER FIELD;ALEXANDRIA, MINNESOTA;;ESTADOS UNIDOS DA AMÉRICA;N/I;45,866389;-95,394722
KAXQ;AXQ;CLARION COUNTY AIRPORT;CLARION, PENNSYLVANIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;41,225;-79,442222
KAXS;AXS;ALTUS/QUARTZ MOUNTAIN REGIONAL AIRPORT;ALTUS, OKLAHOMA;;ESTADOS UNIDOS DA AMÉRICA;N/I;34,698889;-99,338333
